,x,y,frel
2250,ENSG00000142892,ENSG00000146223,0.0789584208316
2251,ENSG00000117410,ENSG00000146223,0.0682203389831
2252,ENSG00000134970,ENSG00000146223,0.0668629100084
2253,ENSG00000048828,ENSG00000146223,0.0551080966511
2254,ENSG00000146223,ENSG00000168569,0.0524769101595
2255,ENSG00000146223,ENSG00000168118,0.0412111017662
2256,ENSG00000066926,ENSG00000146223,0.0373322147651
2257,ENSG00000146223,ENSG00000263465,0.0264505119454
2258,ENSG00000067064,ENSG00000146223,0.0232558139535
2259,ENSG00000146223,ENSG00000154889,0.0217855617258
2260,ENSG00000146223,ENSG00000183283,0.0206663854914
2261,ENSG00000146223,ENSG00000242485,0.0200752823087
2262,ENSG00000134056,ENSG00000146223,0.0200501253133
2263,ENSG00000146223,ENSG00000167635,0.0173655230834
2264,ENSG00000146223,ENSG00000168936,0.016
2265,ENSG00000061794,ENSG00000146223,0.0149317406143
2266,ENSG00000108588,ENSG00000146223,0.0126796280642
2267,ENSG00000118985,ENSG00000146223,0.0114309906859
2268,ENSG00000146223,ENSG00000157593,0.0113827993255
2269,ENSG00000146223,ENSG00000181904,0.0111016225448
2270,ENSG00000123739,ENSG00000146223,0.00891719745223
2271,ENSG00000134440,ENSG00000146223,0.00884582982308
2272,ENSG00000112874,ENSG00000146223,0.00758853288364
2273,ENSG00000146223,ENSG00000188938,0.00716997047659
2274,ENSG00000094841,ENSG00000146223,0.00595238095238
2275,ENSG00000104231,ENSG00000146223,0.00544844928751
2276,ENSG00000138760,ENSG00000146223,0.00422475707647
2277,ENSG00000136827,ENSG00000146223,0.0042034468264
2278,ENSG00000121067,ENSG00000146223,0.00337837837838
2279,ENSG00000133983,ENSG00000146223,0.00253592561285
2280,ENSG00000145354,ENSG00000146223,0.00253485424588
2281,ENSG00000146223,ENSG00000240877,0.00251466890193
2282,ENSG00000129055,ENSG00000146223,0.00212044105174
2283,ENSG00000117450,ENSG00000146223,0.00211416490486
2284,ENSG00000005893,ENSG00000146223,0.0016992353441
2285,ENSG00000146223,ENSG00000275090,0.00167785234899
2286,ENSG00000113597,ENSG00000146223,0.000850340136054
2287,ENSG00000146223,ENSG00000241258,0.000848176420696
2288,ENSG00000146223,ENSG00000213463,0.000846023688663
2289,ENSG00000136100,ENSG00000146223,0.000845308537616
2290,ENSG00000123415,ENSG00000146223,0.00084388185654
2291,ENSG00000146223,ENSG00000177565,0.000843525938423
2292,ENSG00000111481,ENSG00000146223,0.000839983200336
2293,ENSG00000146223,ENSG00000205352,0.000838222967309
2294,ENSG00000123983,ENSG00000146223,0.000835770998746
2295,ENSG00000146223,ENSG00000166471,0.000833333333333
2296,ENSG00000146223,ENSG00000148090,0.000826104915324
2297,ENSG00000124614,ENSG00000161016,1.0
2298,ENSG00000105373,ENSG00000161016,0.661202185792
2299,ENSG00000142534,ENSG00000161016,0.4207209071745
2300,ENSG00000161016,ENSG00000244313,0.31796841656
2301,ENSG00000148498,ENSG00000161016,0.307306889353
2302,ENSG00000149806,ENSG00000161016,0.287564806615
2303,ENSG00000104529,ENSG00000161016,0.275758871313
2304,ENSG00000083845,ENSG00000161016,0.2539200646665
2305,ENSG00000161016,ENSG00000170889,0.24821989602049999
2306,ENSG00000161016,ENSG00000177954,0.108919366604
2307,ENSG00000161016,ENSG00000171863,0.1003153646595
2308,ENSG00000161016,ENSG00000231500,0.09472201361975
2309,ENSG00000149273,ENSG00000161016,0.08771258087185
2310,ENSG00000100129,ENSG00000161016,0.0562659846547
2311,ENSG00000161016,ENSG00000233762,0.0555320050869
2312,ENSG00000161016,ENSG00000168028,0.0397157706675
2313,ENSG00000137198,ENSG00000161016,0.0300751879699
2314,ENSG00000161016,ENSG00000239246,0.0268313458262
2315,ENSG00000161016,ENSG00000200983,0.0265450020738
2316,ENSG00000161016,ENSG00000283293,0.0251677852349
2317,ENSG00000161016,ENSG00000164587,0.02355143519345
2318,ENSG00000115268,ENSG00000161016,0.022042703526399997
2319,ENSG00000161016,ENSG00000242071,0.0227368421053
2320,ENSG00000149823,ENSG00000161016,0.0216193302247
2321,ENSG00000126756,ENSG00000161016,0.0190033783784
2322,ENSG00000145741,ENSG00000161016,0.00629194630872
2323,ENSG00000125458,ENSG00000161016,0.00335570469799
2324,ENSG00000100353,ENSG00000161016,0.00295109612142
2325,ENSG00000161016,ENSG00000168887,0.00211595429539
2326,ENSG00000137054,ENSG00000161016,0.00170357751278
2327,ENSG00000161016,ENSG00000233927,0.00169419737399
2328,ENSG00000161016,ENSG00000213741,0.000844457279767
2329,ENSG00000161016,ENSG00000221491,0.000844238075137
2330,ENSG00000143486,ENSG00000161016,0.000838926174497
2331,ENSG00000161016,ENSG00000273587,0.000836120401338
2332,ENSG00000161016,ENSG00000163682,0.000831946755408
2333,ENSG00000161016,ENSG00000213280,0.000831600831601
2334,ENSG00000161016,ENSG00000236552,0.000830220008302
