ensembl_id	snoRNAs	Expression_level	Cancer	Bladder	Brain	Breast_aggressive	Breast_normal	Cervical	Colon	Gallbladder	Gastric	Hepatocellular	Leukemia	Lung	Myeloma	Osteosarcoma	Ovarian	Prostate	Renal	Reference
ENSG00000209042	SNORD12C	Increased/Decreased	CRC/BRCA	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7243338/ https://www.sciencedirect.com/science/article/pii/S0344033819330158?via%3Dihub
ENSG00000212232	SNORD17	Increased/Decreased	HCC/ccRCC/BRCA/CC/CRC	0	0	0	2	3	1	0	0	1	0	0	0	0	0	0	1	https://pubmed.ncbi.nlm.nih.gov/35034103/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8615616/ https://www.sciencedirect.com/science/article/pii/S0344033819330158?via%3Dihub
ENSG00000212283	SNORD89	Increased/Decreased	EC/OC/BRCA/PCa	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	https://pubmed.ncbi.nlm.nih.gov/35790714/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub https://pubmed.ncbi.nlm.nih.gov/31395064/ https://www.sciencedirect.com/science/article/pii/S1040842820303462?via%3Dihub
ENSG00000212304	SNORD12	Increased/Decreased	UM/BRCA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	https://pubmed.ncbi.nlm.nih.gov/30569172/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
ENSG00000212411/ENSG00000212428	SNORD115/HBII-52	Increased/Decreased	BRCA/PCa/DIPG	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub https://link.springer.com/article/10.1007/s12094-020-02443-2
ENSG00000222365	SNORD12B	Increased/Decreased	ESCC/ccRCC/BRCA/GBM	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
ENSG00000223224	SNORD71/HBII-239	Increased/Decreased	PTCL/BRCA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	https://ashpublications.org/blood/article/120/19/3997/30664/Small-nucleolar-RNA-expression-profiling https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
ENSG00000238622	SNORD97	Increased/Decreased	BRCA/CC/HCC/CACX	0	0	0	3	2	0	0	0	3	0	0	0	0	0	0	0	https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8615616/ https://www.sciencedirect.com/science/article/pii/S0888754318306682?via%3Dihub
ENSG00000251987/ENSG00000206989/ENSG00000252112	SNORD63	Increased/Decreased	HCC/ccRCC/BRCA	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9454744/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9524901/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
ENSG00000263934	SNORD3A/U3	Increased/Decreased	BRCA/LUAD/Sarcoma/BLCA/HCC/CACX/LC	1	0	0	1	2	0	0	0	3	0	1	0	1	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5312328/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7350589/ https://www.aimspress.com/article/10.3934/mbe.2021389 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/ https://www.sciencedirect.com/science/article/pii/S0888754318306682?via%3Dihub https://pubmed.ncbi.nlm.nih.gov/25159866/ https://www.sciencedirect.com/science/article/pii/S0888754318306682?via%3Dihub
ENSG00000275994/ENSG00000206903	SNORA24	Increased/Decreased	BCBM/HCC/BRCA	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	https://pubmed.ncbi.nlm.nih.gov/29287594/ https://pubmed.ncbi.nlm.nih.gov/31478838/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
